"Title","Accession #","Category","Associated People","Associated Place(s)","Creator(s)","Date","Collection","Held At","Medium","Size","Description","URL","Associated Files","Transcription Files"
All three of Judson and Mabel Ruggles Canfield's daughters attended the Litchfield Female Academy. Julia Elvira (1791-1868) married Samuel Flewwelling of New York City, a prominent banker who purchased land in Ohio from Judson Canfield, members of his family, and others. Elizabeth Hannah (1793-1878) married Frederick Augustus Tallmadge (1784-1869) of Litchfield, son of Col. Benjamin Tallmadge. Frederick was a prominent lawyer in New York City and held elective office. Caroline Emma (1798-1872) married William Mackay of New York City, a New York City commission merchant. William Mackay and Julia Canfield Flewwelling were executors of Judson Canfield's will.

Herman Canfield, brother of Judson Canfield, married Fetia Bostwick. In October, 1805, they settled in Canfield, Ohio.

The papers are arranged in two series. Series 1, Judson Canfield papers, primarily consists of documents related to Canfield's law practice. Most involve matters in and around Sharon, Conn., but there are several documents pertaining to land sales in Ohio. There is an interesting letter from Canfield's niece to her mother in which she describes a party she attended, what she and others wore; and news of her relatives in New York and Nyack, including the Bostwick, Flewwelling, Mackay, Ruggles, and Tallmadge families. Series 2, Walter Ferriss papers, includes two documents relating to his affections for his future wife and letters concerning his religious activities, including a letter he wrote to Universalist minister James Babbitt to explain why Ferriss is unable to comply with Babbitt's pressing invitation to him to go to Essex, Vt.","http://www.litchfieldhistoricalsociety.org/archon/?p=collections/controlcard&id=275",,
"Leman Church letter of recommendation","2009-105-0","Correspondence","Leman Church; Asa Bacon; David Sherman Boardman; Jabez Williams Huntington; ","Litchfield, Connecticut; Canaan, Connecticut","David Sherman Boardman; Asa Bacon; Jabez Williams Huntington","1818 Aug 20","Small acquisitions","Litchfield Historical Society",,"1 item","A letter to the Litchfield County Superior Court from David Sherman Boardman, Asa Bacon, Jr. and Jabez W. Huntington, committee appointed by the Court, in which they recommend that Leman Church of Canaan be admitted to practice as an attorney & counselor of the Court. Church attended the Litchfield Law School in 1815.","http://www.litchfieldhistoricalsociety.org/archon/?p=collections/controlcard&id=154",,
"George Younglove Cutler album","2009-28-0","Journals & Friendship Albums","George Younglove Cutler","Litchfield, Connecticut","George Younglove Cutler","1819-1820","Small acquisitions","Litchfield Historical Society",,"1 bound volume","Newspaper clippings mostly from the Litchfield Republican and poems written by George Younglove Cutler in Litchfield in 1820.","http://www.litchfieldhistoricalsociety.org/archon/?p=collections/controlcard&id=131",,
"United States. Declaration of Independence engraving","2010-82-0","Diplomas, Certificates & Catalogs",,,"Charles Tappan",1829,"Small acquisitions","Litchfield Historical Society",,"1 item","Steel engraving of the Declaration of Independence by Charles Tappan, Philadelphia in 1829. Notes and changes in the handwriting of Dr. Franklin and Mr. Adams.","http://www.litchfieldhistoricalsociety.org/archon/?p=collections/controlcard&id=265",,
"Samuel Flewwelling papers","2010-96-0","Collections of Papers","Judson Canfield; Mabel Ruggles Canfield; Julia Canfield Flewwelling; Elizabeth Canfield Tallmadge; Caroline Canfield Mackay; Frederick Augustus Tallmadge","Litchfield, Connecticut; Canfield, Ohio; New York, New York","Samuel Flewwelling","1799-1868","Samuel Flewwelling Papers","Litchfield Historical Society",,"0.83 linear feet","The papers of New York City banker and businessman Samuel Flewwelling (1774 or 5-1849) primarily relating to property held by his wife, Julia Elvira Canfield Flewwelling (1791-1868), and him in the Western Reserve, later Ohio. Following Samuel's death, the properties were managed by William Mackay (1795-1873), a New York City businessman and the husband of Caroline Emma Canfield Mackay. The collections includes indentures, agreements, leases, deeds, statements and accounts, and correspondence.

Samuel Flewwelling was born in 1774 or 1775, a son of Abel Flewwelling and Abigail Fowler Flewwelling of Newburgh, N.Y. The Flewwellings moved to New Brunswick during or shortly after the American Revolution. Samuel became associated with William Rhinelander in New York in 1796 and joined the Manhattan Bank in 1801 as bookkeeper. He was promoted to more responsible positions, becoming cashier of the Poughkeepsie branch in 1809. In 1810, he returned to the main office to become cashier until 1817, when he became cashier of the City Bank. He was the cashier of the Delaware and Hudson Canal Company from 1825 until 1829, when he became cashier of the National Bank in New York. Flewwelling maintained residences in New York City and Nyack, N.Y. He retired in 1840 and died in 1849.

Samuel Flewwelling married Julia Elvira Canfield, a daughter of Judson Canfield and Mabel Ruggles Canfield. Samuel and Julia Flewwelling had no children. Julia's siblings were Henry J. Canfield (1789-1856) of Canfield, Ohio; Elizabeth Hannah Canfield Tallmadge (1793-1878); and Caroline Emma Canfield Mackay (1798-1872).

The papers are arranged chronologically in one series and consist mostly of documents concerning the conveyance land in the Western Reserve. The earliest document outlines the partitioning of land Judson Canfield and others purchased from the Connecticut Land Co. in 1799. Flewwelling acquired land from Canfield as early as 1815. Some of the later sales were among members of Flewwelling's family, including his father-in-law Judson Canfield, his brother-in-law Henry J. Canfield, and his brother- and sister-in-law Frederick Augustus Tallmadge and Elizabeth Canfield Tallmadge. Flewwelling provided mortgages to some of the purchasers of land, and the agreements contained in the papers spell out the payment terms.

For many years, Royal Millard served as Flewwelling's agent in Ohio, and the collection includes many of his letters reporting on the buying and selling of properties and the collection of funds. After Millard died in 1854, Henry Canfield and William H. Canfield, a nephew of Judson Canfield, served as agents in Ohio, and their letters are also represented in the collection.

Following Flewwelling's death in 1849, his brother-in-law William Mackay, a New York City businessman whose father William and brother Robert Mackay were wealthy Boston merchants, managed the Ohio lands for Julia Canfield Flewwelling. It appears that by the time of Mrs. Flewwelling's death in 1868 all of her and her late husband's Ohio land holdings may have been sold.

Of particular interest in the papers are several documents that summarize Flewwelling's property holdings and detail the contracts and deeds he held.","http://www.litchfieldhistoricalsociety.org/archon/?p=collections/controlcard&id=284",,
"Freemasons.  Grand Lodge of Connecticut Proceedings","1914-30-0","Printed Materials","Ephraim Kirby",,"Freemasons","1802 Oct 20","Small acquisitions","Litchfield Historical Society",,"1 Item","A printed report of the proceedings held in New Haven including a list of members present including Ephraim Kirby and Moses Seymour of St. Paul's, No. 11, Litchfield.","http://www.litchfieldhistoricalsociety.org/archon/?p=collections/controlcard&id=299",,
"Elijah Gaylord letter","2009-40-0","Correspondence","Ozias Seymour",,"Elijah Gaylord","1826 Jul 7","Small acquisitions","Litchfield Historical Society",,"1 item","A letter from Elijah Gaylord dated Harwinton [Conn], 7 Jul 1826 to Ozias Seymour, sheriff of Litchfield County, requesting action on two writs: one in favor of H. Treadway against Thomas Turner & Abraham Moss and the other against Lewis. He writes that he was in Middletown and was requested to forward the enclosed writs.","http://www.litchfieldhistoricalsociety.org/archon/?p=collections/controlcard&id=92",,
"Gould family papers","1931-08-0","Collections of Papers","James Gould; James Reeve Gould; Uriah Tracy; Sally Tracy Gould",,"John Warren Dubois Gould","1799-1923","Gould family papers","Litchfield Historical Society",,"0.42 linear feet","Small collection of correspondence between members of several generations of the Gould and Dubois families. Includes some genealogical notes.","http://www.litchfieldhistoricalsociety.org/archon/?p=collections/controlcard&id=12",,
"James Gould letter","2010-10-0","Correspondence","James Gould",,"James Gould","1814 May 7","Small acquisitions","Litchfield Historical Society",,"1 Item","Letter from James Gould, dated Litchfield May 7, 1814 to Mr. Smith concerning distribution of a bonus by the Hartford Bank Committee.","http://www.litchfieldhistoricalsociety.org/archon/?p=collections/controlcard&id=207",,
"Seth Preston Beers Commissioner of Revenue papers","2009-135-0","Collections of Papers","Seth Preston Beers",,"Seth Preston Beers","1805-1823","Small acquisitions: Hubbell Family papers","Litchfield Historical Society",,"1 folder","Papers of the retail firm of Mills & Mansfield of Kent, Conn. The partnership consisted of Bradley Mills and his son-in-law William Penderson Mansfield (1774-1855). School Fund bonds relating to Abijah Hubbell, Jr. and Ephraim Hubbell of Kent. Includes several documents authored by Seth Preston Beers in his capacity as collector of revenue.","http://www.litchfieldhistoricalsociety.org/archon/?p=collections/controlcard&id=232",,
"James Jackson papers","2009-45-0","Record Books, Ledgers & Receipts","Jabez Williams Huntington",,"James Jackson","1829 Jul-Sep","Small acquisitions","Litchfield Historical Society",,"4 items","James Jackson's accounts and memos concerning transportation of organs from New York, New Haven, and Litchfield. Included are the costs of packing cases and freight. Expenses are paid to Ambrose Norton, Jonathan Carrington, and A. Wadhams. Purchase of organs by Henry Sheldon, William H. Thompson, and Jabez W. Huntington.","http://www.litchfieldhistoricalsociety.org/archon/?p=collections/controlcard&id=322",,
"Jimmy the Rattler poem","2010-38-0","Printed Materials",,,"unknown author","circa 1814","Small acquisitions","Litchfield Historical Society",,"1 item","A printed broadside with a political song satirizing James Madison's conduct as president.","http://www.litchfieldhistoricalsociety.org/archon/?p=collections/controlcard&id=213","2010-38-0.jpg",
"Ephraim Kirby letter","2009-46-0","Correspondence","Ephraim Kirby; John Cotton Smith",,"Ephraim Kirby","1787 Apr 16","Small acquisitions","Litchfield Historical Society",,"1 item","A letter from Ephraim Kirby in Litchfield to John Cotton Smith, attorney at law in Sharon (Conn.) asking Smith to arrest a young man (unnamed) who read law under him and did not pay his fees. Mr. Kirby thinks that the young man is keeping a school in Amenia, NY.","http://www.litchfieldhistoricalsociety.org/archon/?p=collections/controlcard&id=323",,
"Luke Lewis receipt","2009-87-0","Record Books, Ledgers & Receipts","Luke Lewis; Julius Deming",,"Luke Lewis","1805 Jan 24","Small acquisitions","Litchfield Historical Society",,"1 Item","A receipt from Luke Lewis in Litchfield to Julius Deming for payment of $42.50 for a cast iron chest bought of Lewis.","http://www.litchfieldhistoricalsociety.org/archon/?p=collections/controlcard&id=356",,
"Mary Ann Lewis papers","1913-30-0","Collections of Papers","Mary Ann Lewis; Louisa Lewis Phelps; Amelia Catherine Lewis; Jane Roxana Lewis; Everett Bolkcom; John Pierce Brace; Lucy Porter Brace;  Flora Catlin; Charles Bunker; Roxana Clark Bolles; Roger W. Cooke; Theodosia Deveaux Hastings; Laura Farnham; Samuel Glover; Jacob Delamotta; Leroy Harvey; James Reeve Gould; Helen Kirby Putnam;  James G. McClean; James McElhenny; Walter Reynolds; John Frink Adams; Henry Bromfield Rogers; Benjamin Huger Rutledge; Elkanah C. Sherman; Levi Bull Smith; Charles Samuel Stewart; Joseph Clay Stiles; Robert Maxwell; William J. Tabor; George Washington Tallmadge; Maria Tallmadge Cushman; Harriet Tallmadge Delafield; John Whiting; Hannah Wolcott Freeman; Oliver Stoughton Wolcott; Jane Conard Wolcott; George Younglove Cutler; ",,"Mary Ann Lewis","1811-1895","Mary Ann Lewis papers","Litchfield Historical Society",,"0.83 linear feet","The Luke Lewis family moved to Litchfield, Conn. in 1811 and lived in a house at #7 East Street in the center of town. Mr. Luke Lewis operated a store on the property and his four daughters all attended the Litchfield Female Academy at various times from 1812-1821. The majority of the collection consists of invitations and replies from members of Litchfield families, Litchfield Female Academy students, and Litchfield Law School students.","http://www.litchfieldhistoricalsociety.org/archon/?p=collections/findingaid&id=6&q=",,
"Litchfield County judicial records","2005-08-0","Collections of Papers","Frederick Wolcott; Tapping Reeve; Uriah Tracy; Uriel Holmes; Julius Deming; Joseph Adams; ",,,"1790-1930","Litchfield County judicial records","Litchfield Historical Society",,"2.5 linear feet","Litchfield County Judicial Records (1790-1930) consist of case files and other documents relating to matters involving the Litchfield County Court, the Litchfield Superior Court, and the clerk of the court from the late 1790s through 1861. The records were recovered from the attic of the former Westleigh Inn and it is not known why the records were stored there. They appear to complement the Litchfield County Court records held by the Connecticut State Archives. In the absence of original order, they have been arranged in two series, Case files and Subject files, using two State Archives finding aids as models: ""RG 003, Litchfield County, County Court Files, Inventory of Records"" and ""RG 003, Litchfield County, County Court Papers by Subject Inventory of Records,"" both of which were prepared by Debra Pond. The description of the series and records which follow include excerpts from these State Archives finding aids.

Series 1, Case files, contain original materials and relate to civil lawsuits and criminal actions in the years between 1790 and 1861. While the records relating to each file vary by case, common documents include writs, summonses, motions filed by the parties, and jury verdicts. The cases are arranged chronologically and then alphabetically by plaintiff.

Series 2, Subject files, include a range of records and generally follow the subject categories found in the Litchfield County Court records at the Connecticut State Archives. The categories are organized alphabetically, and then arranged chronologically within each category.

Subject file categories:

Admissions to the bar (1859-1860) contains chronologically arranged certificates from the county bar's committee of examiners reporting results of its examination of candidates seeking to be admitted to practice before the Litchfield County bar.

Appeals from probate (1800-1855) contains chronologically arranged documents from parties requesting reconsideration of probate court decisions.

Appointments of commissioners (1855-1860) contains chronologically arranged documents relating to confirmations of individuals sworn as commissioners of the court.

Costs (1798-1860, undated) are accountings of court costs from individual files for items such as service of writs, summoning of witnesses, juror expenses, sheriff's travel expenses and the like. Some cost records do not include the name of the case to which they belong. The records are filed chronologically by year.

Court expenses (1798-1859) are arranged chronologically and consist primarily of accounts by those incurring expenses in running the court. Entries include such items as dinner and wine expenses and some itemized gaoler accounts, which provide details of the care provided to prisoners while incarcerated in Litchfield.

Inquests (1798-1861) are investigations into the causes of suspicious deaths. They are arranged chronologically by year.

Jurors (circa 1800-1860) contains orders to town constables to summon jurors for jury duty, as the court needed them to try cases. In addition, the clerk's notes of the individuals who served on the jury for certain trials may be found here. These records are arranged first by general records, which include documents relating to county-wide matters, and second alphabetically by town name, then chronologically.

Justices by town (1860-1861) contains documents confirming the swearing of justices of the peace and are arranged alphabetically by town.

Miscellaneous (1802-circa 1930) contains a variety of material and generally consists of individual items. Documents include a land appraisal, a bond, a deposition apparently unrelated to any case file, documents relating to post-Civil War military pensions, photographs of two unidentified men circa 1930, and other items.

Naturalization (1842-1860) is made up of petitions for and other documents relating to naturalization. They are arranged chronologically and then by the name of the individual.

Protection Orders (1799-1812) protected debtors with a large number of debts from arrest while at court suing their own creditors. They are arranged chronologically.

Taverns (1856-1860) is composed of chronologically arranged certifications to the court of the tavern keepers appointed by the county's towns. Tavern licenses were appointed, or renewed, annually by the court.","http://www.litchfieldhistoricalsociety.org/archon/index.php?p=collections/controlcard&id=235",,
"Litchfield county law notes","1996-13-0-2","Record Books, Ledgers & Receipts",,,"unknown author",1784,"Litchfield county law notes","Litchfield Historical Society",,"1 Item","A small notebook with lists of legal cases and payments. There is no name for the lawyer but names in many of the cases involve Litchfield (Conn.) people.","http://www.litchfieldhistoricalsociety.org/archon/index.php?p=collections/controlcard&id=250",,
"Loring family correspondence","1965-23-0","Collections of Papers","Mary Pierce; Sarah Pierce; Charles Greely Loring; Anna Brace Loring",,"Mary Pierce","1812-1863","Loring family correspondence","Litchfield Historical Society",,".83 linear feet","The Loring Family Correspondence consists primarily of letters to and from Mary Pierce. The main correspondents are: Mary Pierce; Anna Pierce Brace, Mary's niece; Charles Greely Loring, Anna's husband; Jane Loring Gray and Susan Loring Jackson, daughters of Charles and Anna, grandnieces of Mary Pierce.
The Lorings were a prominant family in Boston and in addition to news of the extended families (Cunninghams, Putnams, Jacksons, Grays, & Lowells) and friends, the letters describe life in Boston in the first half of the 19th century.
Mary Pierce writes to Charles Greely Loring about her niece Anna Brace, family and friends in Litchfield, Conn. from 1815 to 1821.","http://www.litchfieldhistoricalsociety.org/archon/index.php?p=collections/controlcard&id=8",,
"Lynde Lord receipt","2001-06-0","Record Books, Ledgers & Receipts","Lynde Lord; Tapping Reeve; Frederick Wolcott",,"Lynde Lord","12 Feb 1800","Small acquisitions","Litchfield Historical Society",,"1 Item","Receipt signed by Lynde Lord, Jr. for $46.69 for Lynde Lord, Sheriff received from Frederick Wolcott, clerk of the Conn. Superior Court for expenses of Sept. 2, 1799 for executing Jesse Clark for bigamy; Jan. 7, 1800 for wood, court expenses, gallows for Washburn, attendance at court, etc.","http://www.litchfieldhistoricalsociety.org/archon/index.php?p=collections/controlcard&id=243&q=lynde+lord",,
"Mary Lord & Erastus A. Lord bonds","2009-48-0","Record Books, Ledgers & Receipts","Erastus Aurelian Lord; ",,,"1828-1830","Small acquisitions","Litchfield Historical Society",,"3 items","Two bonds for Mary Lord & Erastus A. Lord of Litchfield for $1600, dated 13 Jun 1828, and $2000, dated 26 Aug 1829, payable to Isaac Spencer, Treasurer of the State of Connecticut for use and benefit of the School Fund. Also a receipt to Erastus A. and Mary Lord on 6 Sep 1830 for $108 dollars interest on the bonds.","http://www.litchfieldhistoricalsociety.org/archon/index.php?p=collections/controlcard&id=325",,
"Eugenius Aristedes Nisbet letters","1792-88-0","Correspondence","Eugenius Aristides Nisbet; Amanda Battle Nisbet",,"Eugenius Aristides Nisbet","1823-1841","Small acquisitions","Litchfield Historical Society",,"3 items","Typed transcripts of 2 letters from Eugenius Nisbet in Litchfield, dated Sept. 4, 1823 and ? 1823 to Amanda Melvina Fitzallen Battle in Hancock County, Powelton, Georgia; and a letter from E.A. Nisbet to his wife, Mrs. Amanda M.F. Nisbet in Macon, Georgia dated from Washington 15 July 1841.","http://www.litchfieldhistoricalsociety.org/archon/index.php?p=collections/controlcard&id=466",,
"Josiah Parks account","2010-20-0","Record Books, Ledgers & Receipts","Lynde Lord; Josiah Parks",,"Josiah Parks","1818-1821","Small acquisitions","Litchfield Historical Society",,"1 Item","Josiah Parks' bill and receipt of payment from Luke Lewis for stage, freight and other items and trips to Farmington and Hartford from Litchfield. Josiah Parks rand stage lines from Litchfield and Luke Lewis was a Litchfield shopkeeper and resident.","http://www.litchfieldhistoricalsociety.org/archon/index.php?p=collections/controlcard&id=283",,
"Pierce family correspondence","1978-39-8","Collections of Papers","John Pierce; Sarah Pierce; James Pierce; Harriet Beecher Stowe; Jedediah Strong; Oliver Wolcott (1726-1797); ",,"James Pierce; John Pierce","1775-1825","Pierce family correspondence","Litchfield Historical Society",,".42 linear feet","The Pierce Family Correspondence consists primarily of letters to and from the children of John Pierce and his first wife, Mary (Paterson) Pierce, as well as of his second wife, Mary (Goodman) Pierce. The collection documents events of national importance: John Pierce, a colonel and paymaster in the Continental Army, received letters from numerous correspondents concerning military, administrative, and political news of the American Revolution. Moreover, the Pierce brothers traveled extensively along the East Coast as well as in the South, and their letters provide a record of the industrial and social development, natural resources, and scenery of the major cities of the early American republic as well as contemporary opinions on the condition of slavery in America.

Since Timothy Pierce was a doctor, many of his letters illuminate medical practice during this time, including the difficulties of setting up a private practice and the realities of military medicine. Meanwhile, the letters to Sarah Pierce make references to her role as founder and teacher of the Litchfield Female Academy, a nationally prominent girls' school. The collection includes a letter to Pierce from Harriet Beecher Stowe praising her history textbook and requesting copies of it, correspondence about boarders for the school, and three silk diplomas.

Finally, the letters also shed light on social life in the early republic, as the Pierce brothers frequently attended parties, went on steamboat trips, advised their sisters on deportment, and discussed women's fashions with them.","http://www.litchfieldhistoricalsociety.org/archon/index.php?p=collections/controlcard&id=3",,
"Harriet Beecher Stowe letter","1978-39-8","Collections of Papers","Harriet Beecher Stowe; Sarah Pierce",,"Harriet Beecher Stowe",,"Pierce family correspondence","Litchfield Historical Society",,"1 item","Letter to Sarah Pierce. Praises her ""History"" as an excellent textbook for children and requests copies of it to use to teach her own children.","http://www.litchfieldhistoricalsociety.org/archon/index.php?p=collections/controlcard&id=3",,
"Lucy Sheldon Beach letter","2009-56-0","Correspondence","Lucy Sheldon Beach; Huldah Sheldon",,"Lucy Sheldon Beach","1810 Nov 29","Small acquisitions","Litchfield Historical Society",,"1 Item","Lucy Sheldon in New York writes to her mother Huldah Sheldon (Mrs. Daniel) in Litchfield about her trip by coach to New Haven and then by packet boat to New York. She gives her impressions of life in the city.","http://www.litchfieldhistoricalsociety.org/archon/?p=collections/controlcard&id=136",,
"Samuel Shepard letter","2009-53-0","Correspondence","Samuel Shepard",,"Samuel Shepard","1793 Mar 4","Small acquisitions","Litchfield Historical Society",,"1 Item","A letter to Misses Martha Ellsworth, Polly Ellsworth and Nancy Strong in Chatham. Dated Yale College, March 4th 1793. Mr. Shepard writes about missing friends, the noise of the town, his health, and that he has little time to write letters.","http://www.litchfieldhistoricalsociety.org/archon/?p=collections/controlcard&id=103",,
"John Cotton Smith letters","1948-08-0","Correspondence","Tapping Reeve; Elizabeth Reeve; Lyman Beecher",,"John Cotton Smith","1823-1824","Small acquisitions","Litchfield Historical Society",,"1 Item","Drafts of letters by John Cotton Smith of Sharon (Conn.) including a tombstone inscription for Tapping Reeve; one page letter to Rev. Henry A. Rowland about school in New York for John Cotton Smith's son; two page letter to Mrs. Tapping Reeve about publication of Book of Descents, tombstone inscription for Tapping Reeve, and visit of Mrs. Reeve and Rev. Beecher. All 3 items are on one large, folded piece of paper.",,,
"Congregational Church seating plan","1997-34-0","Buildings","Judah Champion; ",,"unknown author","circa 1788","Stoddard Family Papers","Litchfield Historical Society",,"1 Item","Seating plan for the First Congregational Church showing details of which person sat in each pew.","http://www.litchfieldhistoricalsociety.org/archon/?p=collections/controlcard&id=310","scan",
"Harriet Beecher Stowe letter","1937-09-0","Correspondence","Harriet Beecher Stowe; Maria Tallmadge Cushman",,"Harriet Beecher Stowe","1829 Jun 27","Small acquisitions","Litchfield Historical Society",,"1 Item","Harriet Beecher in Saratoga, NY wrote to Maria Tallmadge Cushman in Troy, NY noting that she visited Saratoga to restore her health but desired to travel to Litchfield.  She requested information about the best route or any acquaintances who might be traveling there.","http://www.litchfieldhistoricalsociety.org/archon/?p=collections/controlcard&id=65",,
"Jedediah Strong Collection","2010-122-0","Collections of Papers","Jedediah Strong; James Morris; ",,"Jedediah Strong","1798-1799","Small acquisitions","Litchfield Historical Society",,"1 folder","A letter from Heber Stone and James Morris, Select Men in Litchfield to the Court of Common Pleas, informing the Court that they have appointed Samuel Seymour to oversee the affairs of Jedediah Strong. Dated 1798 Dec. 1. Also a petition from Jedediah Strong dated Dept. 1799 to change his guardian to Nehemiah Strong; includes ramblings against his abuse by the community after years of distinguished service.","http://www.litchfieldhistoricalsociety.org/archon/?p=collections/controlcard&id=467",,"2010-122-0/Jedediah Strong Memorial 1799; 2010-122-0b/Apponitment of Overseer; 2010-122-0c/Estate Inventory; 2010-122-0d/Testimony re: Ephraim Kirby; 2010-122-0e Jedediah Strong Memorial 1794; 2010-122-0f/Jedediah Strong Memorial 1795"
"Susan Tracy letter","2009-59-0","Correspondence","Susannah Bull Tracy; George Gould",,"Susan Bull Tracy","1826 Aug 23","Small acquisitions","Litchfield Historical Society",,"1 Item","Letter from Susannah Bull Tracy in Litchfield to her grandson George Gould in New Haven asking that he find some ribbon to match an enclosed sample. Some family news also.","http://www.litchfieldhistoricalsociety.org/archon/?p=collections/controlcard&id=133",,
"Uriah Tracy collection","2010-50-0","Correspondence","Uriah Tracy",,"Uriah Tracy","1786-1808","Small acquisitions","Litchfield Historical Society",,"4 items","Three letters from Uriah Tracy and a description of a monument erected to his memory in Washington, D.C. in 1808.","http://www.litchfieldhistoricalsociety.org/archon/?p=collections/controlcard&id=239",,
